iter	RMSE
0	1570.119787
1	1442.908546
2	1332.279988
3	1230.951725
4	1141.200724
5	1062.9988
6	992.9027745
7	932.2728257
8	877.914579
9	830.257796
10	789.3941966
11	752.4043649
12	720.1157545
13	693.2305973
14	668.7659319
15	647.0809098
16	628.4580325
17	613.1383656
18	598.0343966
19	584.8888375
20	573.8152641
21	563.9309167
22	555.3774671
23	547.3198965
24	540.0874676
25	533.7235702
26	528.3727314
27	522.6204257
28	517.0971911
29	512.6657476
30	508.8286647
31	504.8573546
32	500.7340222
33	496.2310713
34	493.0669799
35	490.2775242
36	487.1111005
37	484.6560099
38	480.9198557
39	478.2538222
40	476.3323156
41	473.7636651
42	470.7777675
43	468.6463874
44	466.9414933
45	465.5758549
46	463.4693776
47	461.271516
48	460.0842378
49	458.2777311
50	456.4790732
51	454.7289189
52	453.9153397
53	452.4456234
54	450.9332525
55	448.9922718
56	447.923597
57	446.3716728
58	445.0066957
59	443.5057636
60	442.3876533
61	440.8655555
62	440.3396689
63	439.7000446
64	437.9487526
65	436.9530357
66	435.5288653
67	434.0765669
68	432.6960396
69	431.4532455
70	430.1554147
71	428.931412
72	428.0753333
73	427.3007977
74	425.7774571
75	424.4605617
76	422.8192407
77	422.0643669
78	420.8025253
79	419.9236131
80	419.2417824
81	418.3398277
82	417.8931043
83	416.946882
84	416.4851434
85	415.3557281
86	414.9944243
87	414.2595232
88	413.1581051
89	412.2336509
90	410.8573338
91	410.0062687
92	409.6466254
93	408.4232279
94	407.6838568
95	406.6777051
96	405.9953306
97	405.1395507
98	404.4796639
99	403.7048416
100	402.6189948
101	402.345721
102	401.7275586
103	400.6825746
104	400.0641048
105	399.6877795
106	399.096505
107	398.6686216
108	397.9902316
109	397.2081145
110	396.4807758
111	396.0149539
112	395.0995029
113	394.8414268
114	394.1132715
115	393.3182584
116	392.7423024
117	391.5451447
118	390.9869295
119	390.4621175
